Name of Organization,EIN,Classification,Nonprofit Tax Code Designation: 501(c)(3),FISCAL YEAR,Total Revenue,Total Functional Expenses,Net Income
NEW PARTNERS INC,13-3885148,"Philanthropy, Charity, Voluntarism Promotion, General (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,257488375.0,265200357.0,
CHANGE FOR KIDS INC,13-3886045,"Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C.",Yes,2020.0,1411142.0,1462251.0,
U S FRIEND OF YAD EZRAH,13-3887075,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2010420.0,2058645.0,
HOUSING OPTIONS & GERIATRIC ASSOCIATION & RESOURCES INC,13-3887707,"Mental Health Treatment - Multipurpose and N.E.C. (F34Z) (Mental Health, Crisis Intervention)",Yes,2020.0,7891832.0,7920282.0,
GERALD L LENNARD FOUNDATION INC,13-3888381,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,968954.0,1960250.0,
BEST CHOICE HOME HEALTH CARE INC,13-3889937,Health - General and Rehabilitative N.E.C.,Yes,2020.0,35378009.0,35872752.0,
FRIENDS OF GREEN CHIMNEYS,13-3897106,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,838810.0,922780.0,
E H A FOUNDATION INC,13-3898642,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,1643147.0,307420.0,
RIVERSPRING LICENSED HOME CARE SERVICES AGENCY INC,13-3900644,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,17651154.0,17457218.0,193936.0
CHIA FAMILY FOUNDATION INC,13-3904882,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,1882784.0,3497161.0,
MAKING HEADWAY FOUNDATION INC,13-3906297,Medical Research N.E.C.,Yes,2020.0,1004906.0,1551301.0,
LES PAUL FOUNDATION,13-3911396,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,785097.0,1923223.0,
RYAN-CHELSEA CLINTON COMMUNITY HEALTH CENTER,13-3911827,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,20797760.0,16825015.0,3972745.0
CARROLL PETRIE FOUNDATION,13-3912203,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,16676448.0,17119775.0,
EMERALD FOUNDATION INC,13-3912580,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,813503.0,1883153.0,
ZAHAVA AND MOSHAEL J STRAUS FAMILY FOUNDATION,13-3913229,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1943516.0,487026.0,
THE DANIEL E AND JOYCE G STRAUS FAMILY FOUNDATION,13-3913231,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,22563361.0,2725711.0,
WATERHOUSE FAMILY FOUNDATION,13-3914707,"Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C.",Yes,2020.0,10716313.0,7534451.0,
PREMIER HEALTHCARE INC,13-3916271,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,13983772.0,15369963.0,
GABRIELLES ANGEL FOUNDATION FOR CANCER RESEARCH INC,13-3916689,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1122508.0,2200110.0,
VOLCKER FAMILY FOUNDATION INC,13-3917327,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,10365814.0,307329.0,
AGUDATH ISRAEL OF AMERICA FOUNDATION,13-3918814,"Unknown (T00Z) (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1160512.0,1061275.0,99237.0
REBA JUDITH SANDLER FOUNDATION INC,13-3919640,"Unknown (T60Z) (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,692435.0,574443.0,
LAWTON W FITT AND JAMES I MCLAREN FOUNDATION,13-3919763,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1362059.0,489176.0,
TROTT FAMILY FOUNDATION,13-3919816,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,2395873.0,34243706.0,
VIDA FAMILY SERVICES INC,13-3920811,"Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment (Mental Health, Crisis Intervention)",Yes,2021.0,880946.0,848736.0,32210.0
SERVICES FOR THE DEVELOPMENTALLY CHALLENGED INC,13-3921190,"Group Home, Residential Treatment Facility - Mental Health Related (Mental Health, Crisis Intervention)",Yes,2020.0,4215786.0,4212679.0,3107.0
BARI LIPP FOUNDATION,13-3921302,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2030295.0,1793182.0,
KRAUS FAMILY FOUNDATION,13-3921376,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1394089.0,3446699.0,
ABBY S AND HOWARD P MILSTEIN FOUNDATION,13-3921824,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2612009.0,1523201.0,
CALAMUS FOUNDATION,13-3922034,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,629458.0,346798.0,
CHESED FOUNDATION OF AMERICA,13-3922068,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,6797662.0,2738661.0,
JJC FOUNDATION,13-3922180,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,573533.0,465720.0,
JAMES AND JUDITH K DIMON FOUNDATION,13-3922199,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,21989193.0,8566706.0,
LINCOLN SQUARE DISTRICT MANAGEMENT ASSOCIATION INC,13-3922300,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,3393401.0,2976240.0,417161.0
BAWD FOUNDATION,13-3922346,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,508791.0,524066.0,
LANZA FAMILY FOUNDATION INC,13-3922706,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1144890.0,673074.0,
OVERHILLS FOUNDATION,13-3922745,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,798684.0,956499.0,
JOEL SHAPIRO FOUNDATION INC,13-3923000,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,508264.0,446598.0,
SCHLEIFER FAMILY FOUNDATION,13-3925934,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2749985.0,2644353.0,
OSHEA FAMILY FOUNDATION,13-3926380,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,910006.0,2617488.0,
BRONXCARE HEALTH INTEGRATED SERVICES SYSTEM INC,13-3929066,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2021.0,7002385.0,7050712.0,
W I T FOUNDATION INC,13-3929472,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,526180.0,486616.0,39564.0
UGC FOUNDATION INC,13-3930505,"Nonmonetary Support N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,658891.0,758730.0,
THE KINGFISHER FOUNDATION,13-3931294,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3217884.0,1197246.0,
JJJ CHARITABLE FOUNDATION,13-3932002,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2463596.0,2149112.0,
C STEVEN DUNCKER FOUNDATION,13-3932635,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,962166.0,320114.0,
MARC AND DIANE SPILKER FOUNDATION,13-3933345,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,865728.0,377197.0,
EVERCARE CHOICE INC,13-3934289,Health Support Services (Health — General and Rehabilitative),Yes,2020.0,58099121.0,59258350.0,
POWERMYLEARNING INC,13-3935309,"Computer Science (Science and Technology Research Institutes, Services)",Yes,2020.0,10814285.0,10810617.0,3668.0
ARNOLD S PENNER FOUNDATION INC,13-3935352,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,1945377.0,438289.0,
LAWRENCE FAMILY FOUNDATION,13-3935895,"Community Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,653107.0,510983.0,
KIPP NELSON FOUNDATION,13-3936467,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2033710.0,191518.0,
SATTER FOUNDATION,13-3936468,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3467590.0,3084010.0,
THE HERMINE AND DAVID HELLER FOUNDATION,13-3936476,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,5784634.0,3159896.0,
MUSELLA FOUNDATION FOR BRAIN TUMOR RESEARCH & INFORMATION INC,13-3938057,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,1760221.0,1401223.0,358998.0
GILDAS CLUB WESTCHESTER INC,13-3939823,Health - General and Rehabilitative N.E.C.,Yes,2020.0,1460512.0,1479204.0,
ROSENKRANZ FOUNDATION INC,13-3940017,"Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C.",Yes,2020.0,7199599.0,5110226.0,
HELEN C BENEDICT FOUNDATION INC,13-3940833,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1010879.0,412812.0,
THOMPSON DEAN FAMILY FOUNDATION,13-3942201,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4382550.0,2546152.0,
REDDY FOUNDATION,13-3943919,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,969014.0,384000.0,
ALTMAN-KAZICKAS FOUNDATION,13-3944577,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2876139.0,3204439.0,
LOSTAND FOUNDATION INC,13-3945705,"Unknown (T60Z) (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2083089.0,2856942.0,
STONE FOUNDATION OF NEW JERSEY,13-3947516,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,848879.0,920631.0,
MARK AND ANLA CHENG KINGDON FUND,13-3948023,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,11385021.0,6692950.0,
VRANOS FOUNDATION,13-3948273,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2473093.0,2656812.0,
THE LITTLEJOHN FAMILY FOUNDATION,13-3948281,"Unknown (T00Z) (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,8035293.0,906106.0,
CEDAR HILL FOUNDATION,13-3948444,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,584102.0,929113.0,
COLUMBIA UNIVERSITY HEALTH CARE INC,13-3948652,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,30860848.0,30860848.0,0.0
SNOWDON FOUNDATION,13-3948662,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,1341078.0,1012116.0,
WATERWHEEL FOUNDATION INC,13-3948773,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3261121.0,3076622.0,
DANIELS FAMILY FOUNDATION INC,13-3948882,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2591007.0,131522.0,
ROBERT & GAIL EDELSTEIN FOUNDATION INC,13-3948948,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,693434.0,267173.0,
MICHAEL AND ANNIE FALK FOUNDATION,13-3949135,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2263078.0,418683.0,
STERN FAMILY PHILANTHROPIC FOUNDATION,13-3949201,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,972846.0,806154.0,
POTTERS WHEEL FOUNDATION INC,13-3949433,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,1216376.0,1108180.0,
VNS CHOICE,13-3951057,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,1960226919.0,1836041271.0,124185648.0
THOMAS P & CYNTHIA D SCULCO FOUNDATION,13-3952927,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1211447.0,975278.0,
CASELLA PLAZA HOUSING DEVELOPMENT FUND CORPORATION,13-3956960,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,1298868.0,1480573.0,
BERT AND SANDRA WASSERMAN FOUNDATION INC,13-3961422,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,752229.0,422186.0,
THE CATHERINE AND JOSEPH ARESTY FOUNDATION INC,13-3962647,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,707921.0,1304866.0,
INDEPENDENCE CARE SYSTEM INC,13-3964284,Health - General and Rehabilitative N.E.C.,Yes,2020.0,15933144.0,15683957.0,249187.0
SOROS ECONOMIC DEVELOPMENT FUND,13-3965896,"Private Operating Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,50083902.0,2094744.0,
JOHNSON OCONNOR RESEARCH SUPPORT CORPORATION,13-3970491,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,934889.0,2071591.0,
FEDERATION OF JEWISH COMMUNITIES OF THE C I S INC,13-3970940,"Community Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,48830502.0,35724874.0,13105628.0
JACQUELYN AND GREGORY ZEHNER FOUNDATION,13-3971019,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1167491.0,601009.0,
ROMENESA FOUNDATION,13-3971081,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3442946.0,200985.0,
NYU LANGONE HOSPITALS,13-3971298,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,6624270478.0,6218674898.0,405595580.0
KENDAL ON HUDSON,13-3971396,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,35992737.0,32980107.0,3012630.0
JOHN AND JANET KORNREICH CHARITABLE FOUNDATION LTD,13-3974159,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1726222.0,754253.0,
TUFENKIAN FOUNDATION INC,13-3976159,"Private Operating Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1383647.0,1346497.0,
DINAN FAMILY FOUNDATION INC,13-3976827,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3372296.0,4579237.0,
PARTNERSHIP SCHOOLS,13-3976873,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,14242693.0,15925818.0,
EHRENKRANZ FAMILY FOUNDATION,13-3977888,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3990773.0,3806382.0,
MA ASIM TOVIM FOUNDATION INC,13-3978279,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,674411.0,990371.0,
A CHILD WAITS FOUNDATION,13-3978652,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,966060.0,592304.0,
KOMANSKY FOUNDATION INC,13-3978765,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,616643.0,17364.0,
STUNTZ FAMILY FOUNDATION,13-3979253,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,640192.0,476206.0,
GARDEN OF DREAMS FOUNDATION,13-3979726,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4893422.0,7946176.0,
THE EDDIE AND RACHELLE BETESH FAMILY FOUNDATION INC,13-3981963,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1867645.0,730004.0,
SCULLY PERETSMAN FOUNDATION,13-3982344,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,15645397.0,3279225.0,
THE PAUL AND KAREN LEVY FAMILY FOUNDATION,13-3982379,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,892535.0,3755667.0,
THE ROBERT DELANEY AND PAMELA CRAIG FOUNDATION,13-3984315,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,555173.0,2666175.0,
YVONNE AND LESLIE POLLACK FOUNDATION INC,13-3985619,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,5824715.0,668480.0,
JAMES & VIKI COUFOS FOUNDATION INC,13-3986710,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1338950.0,265740.0,
ASSOCIATED CHARITABLE FOUNDATION,13-3989618,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,1861916.0,1752050.0,
MILTON AND JENA BERLINSKI FOUNDATION,13-3992649,"Fund Raising and/or Fund Distribution (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1856122.0,222475.0,
THE SCHENKER FAMILY FOUNDATION,13-3992998,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,567193.0,393341.0,
THE STATEN ISLAND FOUNDATION,13-3993115,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,12173288.0,4316162.0,
[email protected] & LAUREN KOENIG FOUNDATION,13-3993307,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,558176.0,592828.0,
GRATCH FOUNDATION,13-3993558,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,752874.0,3574.0,
SERENBETZ FAMILY FOUNDATION INC,13-3993644,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,10305335.0,651246.0,
EMLE INC,13-3997362,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3831724.0,1517124.0,
DBID INC,13-3997364,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4580588.0,1637238.0,
CLRC INC,13-3997365,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4094537.0,2427929.0,
BCHB INC,13-3997366,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3289696.0,1898621.0,
AHBA INC,13-3997367,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4630837.0,759058.0,
KAREV FOUNDATION INC,13-3999708,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,5652840.0,1066372.0,
CABRINI MISSION FOUNDATION,13-4000672,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,7381921.0,2089844.0,5292077.0
GOLD FAMILY FOUNDATION,13-4001734,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,682037.0,553843.0,
CANARY CHARITABLE FOUNDATION,13-4005475,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2226501.0,2456366.0,
ROBERT AND KATE NIEHAUS FOUNDATION INC,13-4007527,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,8144071.0,5506399.0,
JIM JACOBS CHARITABLE FOUNDATION INC,13-4008195,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3225860.0,412596.0,
PERELMAN FAMILY FOUNDATION INC,13-4008528,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,753270.0,836026.0,
LUCELIA FOUNDATION INC,13-4009608,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,899073.0,571361.0,
DAVID S HOWE FOUNDATION,13-4010543,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2412531.0,471230.0,
ALLISON FAMILY FOUNDATION INC,13-4011223,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,716305.0,704856.0,
OFFENSEND FAMILY FOUNDATION,13-4011882,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,614391.0,513458.0,
BONDI FOUNDATION INC,13-4015931,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,647830.0,1361647.0,
PROJECT ALS INC,13-4019464,"Nerve, Muscle and Bone Diseases (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,4308671.0,3808853.0,499818.0
HADASSAH FOUNDATION INC,13-4022483,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1425354.0,806441.0,618913.0
RUM FUND,13-4022921,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,941453.0,727175.0,
CHIEF EXECUTIVES FOR CORPORATE PURPOSE INC,13-4024259,"Philanthropy, Charity, Voluntarism Promotion, General (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,5454304.0,5383484.0,70820.0
HARLEM RBI INCORPORATED,13-4025290,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,22268250.0,20059364.0,2208886.0
VERGEL FOUNDATION,13-4027930,"Private Operating Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1315953.0,699810.0,
ZIIZ INC,13-4031038,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3948267.0,1844834.0,
MOHEGAN VOLUNTEER FIRE ASSOCIATION VOLUNTEER AMBULANCE CORPS INC,13-4031869,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,700646.0,967749.0,
GERALD J & DOROTHY R FRIEDMAN N Y FOUNDATION FOR MEDICAL RESEARCH,13-4034562,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,1802778.0,3828800.0,
CHARLES LAFITTE FOUNDATION,13-4034999,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1431227.0,1581212.0,
ALEXANDER S ONASSIS PUBLIC BENEFIT FOUNDATION U S A INC,13-4037172,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4902818.0,5552715.0,
STEVE TISCH FAMILY FOUNDATION,13-4037377,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,59841432.0,13540037.0,
JONATHAN M TISCH FAMILY FOUNDATION,13-4037382,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,55952035.0,19278431.0,
PROVIDENCE CHARITABLE FOUNDATION INC,13-4037405,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2258685.0,1334010.0,
MALCOLM GIBBS FOUNDATION INC,13-4041340,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,774440.0,1161299.0,
NEW YORK STRUCTURAL BIOLOGY CENTER INC,13-4043587,"Biological, Life Science Research (Science and Technology Research Institutes, Services)",Yes,2020.0,38246753.0,18801616.0,19445137.0
RED DOOR COMMUNITY INC,13-4046652,Public Health Program (Includes General Health and Wellness Promotion Services) (Health — General and Rehabilitative),Yes,2020.0,2335548.0,2425704.0,
FOUNDATION OF ORTHOPEDICS AND COMPLEX SPINE INC,13-4047356,"Nerve, Muscle, Bone Research (Medical Research)",Yes,2020.0,3314300.0,2828615.0,485685.0
LOUIS R CAPPELLI FOUNDATION INC,13-4048754,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1009200.0,1011725.0,
POINT GAMMON FOUNDATION,13-4049057,"Fund Raising and/or Fund Distribution (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,6290476.0,1926365.0,
THE PINKUS FOUNDATION,13-4051212,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1902006.0,377032.0,
INDIRA FOUNDATION,13-4051213,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1124208.0,830287.0,
MEDIA DEVELOPMENT INVESTMENT FUND INC,13-4052259,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,10012583.0,11535736.0,
GOODMAN-LIPMAN FAMILY FOUNDATION INC,13-4052449,"Fund Raising and/or Fund Distribution (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3517938.0,4196115.0,
MITCHELL J BLUTT AND MARGO KRODY BLUTT FAMILY FOUNDATION,13-4053216,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1030000.0,1021977.0,
RAYMOND DEBBANE FAMILY FOUNDATION,13-4053653,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,45793950.0,4766322.0,
ENFRANCHISEMENT FOUNDATION,13-4055747,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,525996.0,887955.0,
YOUNG SURVIVAL COALITION INC,13-4057685,"Cancer (Diseases, Disorders, Medical Disciplines)",Yes,2021.0,2135971.0,1288907.0,847064.0
JOHN AND PATRICIA KLINGENSTEIN FUND,13-4062589,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3277252.0,4750039.0,
LIMAN FOUNDATION INC,13-4062758,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,535226.0,741084.0,
DANIEL J AND ESTRELLITA BRODSKY FAMILY FOUNDATION,13-4065150,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1750378.0,938545.0,
